"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","127.0.0.1","127.0.0.1","TCP","53","61509  >  61499 [PSH, ACK] Seq=1 Ack=1 Win=228 Len=9"
"2","0.000045","127.0.0.1","127.0.0.1","TCP","44","61499  >  61509 [ACK] Seq=1 Ack=10 Win=250 Len=0"
"3","0.001494","127.0.0.1","127.0.0.1","TCP","47","61499  >  61509 [PSH, ACK] Seq=1 Ack=10 Win=250 Len=3"
"4","0.001534","127.0.0.1","127.0.0.1","TCP","44","61509  >  61499 [ACK] Seq=10 Ack=4 Win=228 Len=0"
"5","25.002290","127.0.0.1","127.0.0.1","TCP","53","61509  >  61499 [PSH, ACK] Seq=10 Ack=4 Win=228 Len=9"
"6","25.002343","127.0.0.1","127.0.0.1","TCP","44","61499  >  61509 [ACK] Seq=4 Ack=19 Win=250 Len=0"
"7","25.003559","127.0.0.1","127.0.0.1","TCP","47","61499  >  61509 [PSH, ACK] Seq=4 Ack=19 Win=250 Len=3"
"8","25.003604","127.0.0.1","127.0.0.1","TCP","44","61509  >  61499 [ACK] Seq=19 Ack=7 Win=228 Len=0"
"9","43.886098","::1","::1","TCP","76","60338  >  9222 [SYN] Seq=0 Win=65535 Len=0 MSS=65475 WS=256 SACK_PERM"
"10","43.886119","::1","::1","TCP","64","9222  >  60338 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"11","43.886307","127.0.0.1","127.0.0.1","TCP","56","60339  >  9222 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"12","43.886316","127.0.0.1","127.0.0.1","TCP","44","9222  >  60339 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"13","43.895088","127.0.0.1","127.0.0.1","TCP","56","60341  >  60331 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"14","43.895248","127.0.0.1","127.0.0.1","TCP","56","60331  >  60341 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"15","43.895294","127.0.0.1","127.0.0.1","TCP","44","60341  >  60331 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"16","43.898034","127.0.0.1","127.0.0.1","TCP","439","60341  >  60331 [PSH, ACK] Seq=1 Ack=1 Win=65280 Len=395 [TCP PDU reassembled in 18]"
"17","43.898078","127.0.0.1","127.0.0.1","TCP","44","60331  >  60341 [ACK] Seq=1 Ack=396 Win=65024 Len=0"
"18","43.898229","127.0.0.1","127.0.0.1","HTTP","56","POST /exa.extension_server_pb.ExtensionServerService/LanguageServerStarted HTTP/1.1  (application/proto)"
"19","43.898246","127.0.0.1","127.0.0.1","TCP","44","60331  >  60341 [ACK] Seq=1 Ack=408 Win=65024 Len=0"
"20","43.931788","127.0.0.1","127.0.0.1","HTTP","199","HTTP/1.1 200 OK "
"21","43.931830","127.0.0.1","127.0.0.1","TCP","44","60341  >  60331 [ACK] Seq=408 Ack=156 Win=65280 Len=0"
"22","43.936503","127.0.0.1","127.0.0.1","TCP","56","60342  >  60332 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"23","43.936595","127.0.0.1","127.0.0.1","TCP","56","60332  >  60342 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"24","43.936632","127.0.0.1","127.0.0.1","TCP","44","60342  >  60332 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"25","43.937012","127.0.0.1","127.0.0.1","TLSv1.3","283","Client Hello"
"26","43.937036","127.0.0.1","127.0.0.1","TCP","44","60332  >  60342 [ACK] Seq=1 Ack=240 Win=65280 Len=0"
"27","43.939766","127.0.0.1","127.0.0.1","TLSv1.3","1602","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"28","43.939823","127.0.0.1","127.0.0.1","TCP","44","60342  >  60332 [ACK] Seq=240 Ack=1559 Win=63744 Len=0"
"29","43.943765","127.0.0.1","127.0.0.1","TLSv1.3","108","Change Cipher Spec, Application Data"
"30","43.943801","127.0.0.1","127.0.0.1","TCP","44","60332  >  60342 [ACK] Seq=1559 Ack=304 Win=65024 Len=0"
"31","43.943908","127.0.0.1","127.0.0.1","TLSv1.3","668","Application Data"
"32","43.943925","127.0.0.1","127.0.0.1","TCP","44","60332  >  60342 [ACK] Seq=1559 Ack=928 Win=64512 Len=0"
"33","43.944833","127.0.0.1","127.0.0.1","TLSv1.3","75","Application Data"
"34","43.944858","127.0.0.1","127.0.0.1","TCP","44","60332  >  60342 [ACK] Seq=1559 Ack=959 Win=64512 Len=0"
"35","43.945125","127.0.0.1","127.0.0.1","TLSv1.3","105","Application Data"
